Ano;Mês;UF;IMPOSTO SOBRE IMPORTAÇÃO;IMPOSTO SOBRE EXPORTAÇÃO;IPI - FUMO;IPI - BEBIDAS;IPI - AUTOMÓVEIS;IPI - VINCULADO À IMPORTACAO;IPI - OUTROS;IRPF;IRPJ - ENTIDADES FINANCEIRAS;IRPJ - DEMAIS EMPRESAS;IRRF - RENDIMENTOS DO TRABALHO;IRRF - RENDIMENTOS DO CAPITAL;IRRF - REMESSAS P/ EXTERIOR;IRRF - OUTROS RENDIMENTOS;IMPOSTO S/ OPERAÇÕES FINANCEIRAS;IMPOSTO TERRITORIAL RURAL;IMPOSTO PROVIS.S/ MOVIMENT. FINANC. - IPMF;CPMF;COFINS;COFINS - FINANCEIRAS;COFINS - DEMAIS;CONTRIBUIÇÃO PARA O PIS/PASEP;CONTRIBUIÇÃO PARA O PIS/PASEP - FINANCEIRAS;CONTRIBUIÇÃO PARA O PIS/PASEP - DEMAIS;CSLL;CSLL - FINANCEIRAS;CSLL - DEMAIS;CIDE-COMBUSTÍVEIS (parc. não dedutível);CIDE-COMBUSTÍVEIS;CONTRIBUIÇÃO PLANO SEG. SOC. SERVIDORES;CPSSS - Contrib. p/ o Plano de Segurid. Social Serv. Público;CONTRIBUICÕES PARA FUNDAF;REFIS;PAES;RETENÇÃO NA FONTE - LEI 10.833 Art. 30;PAGAMENTO UNIFICADO;OUTRAS RECEITAS ADMINISTRADAS;DEMAIS RECEITAS;RECEITA PREVIDENCIÁRIA;RECEITA PREVIDENCIÁRIA - PRÓPRIA;RECEITA PREVIDENCIÁRIA - DEMAIS;ADMINISTRADAS POR OUTROS ÓRGÃOS
2000;Janeiro;RR;2047;0;248589;0;0;690;0;84094;2223;668266;1178651;72674;11610;24652;0;13251;0;4554;1235857;;;565519;;;506689;;;;;3264918;;23370;;;;;10853;;;;;
2000;Janeiro;RS;23706984;17019;15940060;13444334;479;12988034;50885273;7983115;2110667;113868661;68118112;46861858;3784824;8564748;5355726;2727118;0;31927953;200556246;;;45417354;;;50752151;;;;;23328593;;2166383;;;;;1003974;;;;;
2000;Janeiro;SC;10437923;0;6511482;5851028;23;5583498;20069652;2565756;365238;33677024;26629264;14441777;761978;2748866;862524;1010070;0;7064450;88190893;;;19643361;;;15084755;;;;;14064783;;729076;;;;;296371;;;;;
2000;Janeiro;SE;641774;0;981545;4912423;0;491998;736311;636954;5064;4426060;3836728;1480410;164422;142602;99725;100372;0;1036669;8814324;;;2470732;;;1703480;;;;;3219153;;93224;;;;;39117;;;;;
2000;Janeiro;SP;314476068;943;61452206;53883669;49619167;176643862;291724165;120292536;97732178;644103314;548114688;795174269;150982193;0;144267541;2612994;0;740365053;1362196861;;;333417622;;;313413193;;;;;57677329;;20833488;;;;;13082134;;;;;
2000;Janeiro;TO;93;161;390924;77031;0;31;23154;67719;0;941987;809722;9948;1261;65703;1562;156607;0;7961;2848843;;;847823;;;626700;;;;;1257842;;46081;;;;;47499;;;;;
2000;Fevereiro;AC;441;0;255361;0;0;0;11437;144788;615;420583;893024;11549;567;22353;1447;1948;0;243;1389041;;;396228;;;216706;;;;;649829;;23226;;;;;21142;;;;;
2000;Fevereiro;AL;291946;0;1277065;729351;0;87642;3166326;613939;2004;1782438;4346350;316392;78845;300088;7670;12447;0;79757;6868060;;;1681055;;;1151327;;;;;3430938;;119320;;;;;231133;;;;;
2000;Fevereiro;AP;24385;0;346633;1936;321;29102;2038;133473;0;426290;1712222;10603;4145;53839;1497;2938;0;0;1264476;;;442178;;;186695;;;;;2852959;;31597;;;;;10234;;;;;
2000;Fevereiro;AM;10801921;0;1344628;1120477;0;2834547;837811;622857;160982;7740294;11156861;3216678;3229491;1129731;861281;7590;0;939258;34742922;;;9495134;;;19333811;;;;;4357747;;162494;;;;;343853;;;;;
2000;Fevereiro;BA;10061984;0;5105347;7942198;0;10879368;25325931;2447841;972219;15837240;27091958;9060337;2122744;2401464;1240415;116888;0;11837628;73847013;;;19204205;;;12630029;;;;;10209375;;567746;;;;;427675;;;;;
2000;Fevereiro;CE;6869180;0;4116955;2240524;0;1325196;4111362;1816175;113698;9237355;17249738;2465521;463490;1113845;769343;17587;0;4368072;37300896;;;12286897;;;4813934;;;;;6710522;;470291;;;;;271815;;;;;
2000;Fevereiro;DF;2526852;133;3263271;3316026;0;2710993;1039924;3740156;7494311;44838722;175214663;71717030;2763661;23564185;63969246;89303;0;230044307;102979088;;;50672665;;;25293697;;;;;70655219;;821846;;;;;33216348;;;;;
2000;Fevereiro;ES;46433679;0;3001093;136575;1664809;31494287;4910983;1142166;14434;9838869;11828814;1527315;5090332;2207716;407235;24395;0;69748;37821279;;;8535606;;;5244256;;;;;3961437;;1503363;;;;;369371;;;;;
2000;Fevereiro;GO;2759681;0;3019726;3879169;0;644524;2672330;1116612;18264;18567553;9511379;1268042;716357;1492546;569949;155655;0;3885884;39024921;;;10951114;;;8059380;;;;;5200988;;639371;;;;;181368;;;;;
2000;Fevereiro;MA;721208;0;1034129;2964582;0;205873;806613;534351;4323;1978585;4671437;185858;148585;326385;90025;56639;0;619106;8414577;;;5261892;;;1449622;;;;;3909086;;98889;;;;;114111;;;;;
2000;Fevereiro;MT;768340;0;1560110;1912273;0;160736;472501;564202;178;3485754;6127137;540815;142184;509403;85238;136139;0;666285;15300107;;;4448971;;;4762436;;;;;4496030;;155182;;;;;99229;;;;;
2000;Fevereiro;MS;227166;0;838814;171200;0;159741;597463;755124;6813;2572877;3408475;592503;17740;253451;88303;134514;0;200833;11238029;;;3509163;;;1864691;;;;;4041441;;87565;;;;;75540;;;;;
2000;Fevereiro;MG;28321797;13;14225672;8174782;45788926;13539275;49137262;9397799;3816282;48244571;56798033;14917715;6422417;16595106;3024860;227970;0;16523270;171139630;;;41489024;;;31129893;;;;;15615388;;1785305;;;;;977157;;;;;
2000;Fevereiro;PA;1530047;7451;2367286;681810;0;836712;859849;970967;7924112;29719875;8340682;748073;135634;676208;179340;92556;0;2898627;18031210;;;6415218;;;25045879;;;;;4510600;;251145;;;;;202686;;;;;
2000;Fevereiro;PB;769182;0;1839704;2143795;0;469260;1604482;574091;4277;4574979;6812353;153732;44702;194751;137918;20187;0;229673;12098349;;;2856862;;;3247126;;;;;6400194;;203329;;;;;49306;;;;;
2000;Fevereiro;PR;50820306;0;6395079;4440417;32178732;30236508;25251990;5719602;9674282;39612008;38722436;30314251;7987108;4681441;8708053;213488;0;70744967;116003465;;;25886174;;;30028055;;;;;9542947;;1126895;;;;;698529;;;;;
2000;Fevereiro;PE;8305184;0;5858574;4810583;0;3339032;8981822;2093340;131047;10253983;21641059;1520451;600655;1968640;580534;57100;0;2847782;43637067;;;12240249;;;6495181;;;;;8537808;;1406435;;;;;275416;;;;;
2000;Fevereiro;PI;359194;0;928022;677756;0;204303;351020;372464;14278;4700138;3090246;48451;16257;121660;46262;35869;0;181856;6904831;;;2129607;;;2600844;;;;;2370806;;90740;;;;;73317;;;;;
2000;Fevereiro;RJ;44350195;225;23439256;23164101;20200;24225802;58224527;27634980;89382492;216169951;228390081;103634492;67288529;21697672;12370162;62484;0;28111624;667575625;;;148892650;;;231683178;;;;;34982293;;4551788;;;;;20841699;;;;;
2000;Fevereiro;RN;780184;0;1709148;829992;0;331106;119458;409703;1662;2045454;5707010;211418;309054;274864;9362;11554;0;69430;10908391;;;2867450;;;1832662;;;;;6393862;;182400;;;;;92479;;;;;
2000;Fevereiro;RS;21716807;12491;20056271;8848041;0;13330148;54949401;6769975;4779231;35805521;60489547;14297647;5632584;8851367;4871468;181579;0;28033133;179886737;;;38754224;;;22223026;;;;;9998124;;2599814;;;;;795129;;;;;
2000;Fevereiro;RO;13719;0;574302;0;0;6661;28357;402530;2512;1254829;2840816;159544;2010;196797;7403;22116;0;43644;6001610;;;2074054;;;1129312;;;;;5194695;;58136;;;;;38751;;;;;
2000;Fevereiro;RR;7911;0;237936;0;0;5655;1006;69453;2905;289754;944039;4150;694;21412;0;5244;0;3833;1049745;;;411342;;;219154;;;;;2454872;;21815;;;;;12443;;;;;
2000;Fevereiro;SC;14857636;4625;5271404;5305143;0;8433527;24542123;3424487;165401;19525803;21882186;3260130;924559;3687151;1530751;61873;0;6783384;78733552;;;17944982;;;10432983;;;;;5186262;;598704;;;;;362252;;;;;
2000;Fevereiro;SP;318467575;2833;55153462;48104325;117796256;176230099;334365861;83298947;569130208;373653799;547494134;442015611;133545513;59831418;144981191;912448;0;715791164;1061357283;;;266573103;;;437578304;;;;;26223552;;19775863;;;;;6754146;;;;;
2000;Fevereiro;SE;632278;0;942624;4704998;0;393152;1146194;691187;317635;1566162;3336657;321154;83593;782633;112111;19284;0;995671;8007522;;;2197174;;;1256551;;;;;2012089;;87841;;;;;40557;;;;;
2000;Fevereiro;TO;758572;0;363071;83379;0;2572;54581;80074;169;425608;603073;9896;11003;65820;1411;30433;0;9217;2425322;;;731243;;;431192;;;;;683263;;34308;;;;;32299;;;;;
2000;Março;AC;2648;0;245759;0;0;101;7468;127554;869;385853;1373613;65413;2390;27998;956;3504;0;295;1419197;;;410717;;;225086;;;;;1594050;;22334;;;;;15766;;;;;
2000;Março;AL;426343;17202;1203411;916046;0;1857;3361245;672321;701;1142497;23869315;214354;128651;378479;12043;18922;0;84884;7335820;;;2581814;;;1040805;;;;;4368849;;112504;;;;;4428635;;;;;
2000;Março;AP;22123;0;350123;751;321;25742;3748;132843;0;476850;2066766;13036;41085;38075;1636;1471;0;0;1448905;;;459670;;;339903;;;;;3960971;;31973;;;;;9611;;;;;
2000;Março;AM;10972356;0;1300714;476115;44468;2953561;802091;749017;27655;36028459;12254462;717520;1618218;1143313;757087;8657;0;1139796;47349523;;;12475128;;;41214553;;;;;4392703;;144546;;;;;159876;;;;;
2000;Março;BA;11910139;87;5028068;6464484;0;11469220;21694437;3362652;930917;21192109;35578798;12627929;9875254;3513662;1554986;101498;0;14407594;74548208;;;21460226;;;15408733;;;;;12404080;;514356;;;;;400726;;;;;
2000;Março;CE;6648280;0;3910697;1559125;0;1185619;2963050;2278029;846563;9835129;17653773;2569367;855090;1408366;918712;32459;0;5237711;34677467;;;9457147;;;8874178;;;;;7847630;;458700;;;;;626831;;;;;
2000;Março;DF;1999507;0;3169124;3071729;133;4179861;565247;3271685;14403119;36083633;239060252;127004004;2533842;35819521;29690798;164446;0;289781174;102126116;;;48167991;;;222063331;;;;;53359542;;817403;;;;;73892451;;;;;
2000;Março;ES;40041522;0;3156288;148665;1811185;29806015;8066467;1293448;6601;21241520;11752073;1979868;6385807;1488404;438203;23901;0;79703;40400283;;;9223247;;;7211730;;;;;3350245;;441755;;;;;370138;;;;;
2000;Março;GO;4472041;0;3039227;3162297;3934;1802187;2272379;1208159;164585;9809939;12348858;1255240;223050;1359055;740438;189607;0;5076342;43159154;;;9473534;;;5507895;;;;;4857117;;301627;;;;;175816;;;;;
2000;Março;MA;2769145;0;983250;2703036;0;699047;608125;450450;7717;4659173;4079965;249707;39495;268561;85797;202863;0;633105;9375203;;;3856051;;;1499578;;;;;3758267;;92012;;;;;81514;;;;;
2000;Março;MT;185210;0;1566771;1693267;0;180147;496345;666076;1356;3255254;8637253;367257;310826;269769;87938;129021;0;987360;13814802;;;4732456;;;2779430;;;;;5396714;;152721;;;;;88937;;;;;
2000;Março;MS;171083;1260;844898;134915;0;69710;537548;908849;6883;3118228;6950562;408283;16321;505605;103741;125098;0;277093;10961598;;;3231517;;;1534596;;;;;3201941;;81854;;;;;88370;;;;;
2000;Março;MG;38897767;17;14151052;9249928;12681892;18303569;41330478;10072792;20748402;100933705;72605991;11622361;10429755;8044780;3473576;227038;0;21758830;185839612;;;41566113;;;65427645;;;;;24359495;;1672915;;;;;811247;;;;;
2000;Março;PA;1156356;0;2201026;886917;1400;609075;850913;1207662;1184295;7589047;13222577;1006860;260294;827225;242018;185921;0;3538315;16894196;;;5442871;;;6038773;;;;;8352692;;227526;;;;;308912;;;;;
2000;Março;PB;1532436;0;1745940;597509;0;527305;1542007;721437;2320;3610915;7274777;147396;420216;206590;176964;16028;0;286827;10760533;;;4433429;;;2153154;;;;;6171331;;171941;;;;;88997;;;;;
2000;Março;PR;54528178;29;8960381;3738369;28927438;37587088;25477213;6483530;5179881;65248727;49471279;34449107;3038806;5071347;10281747;262972;0;85313689;126302671;;;28502159;;;84652840;;;;;11211694;;993401;;;;;2835140;;;;;
2000;Março;PE;8222719;0;5767054;3401471;0;2666032;8893173;1977445;594210;28491674;29319998;1959563;467868;2169194;862310;51183;0;3856246;45470336;;;13579318;;;11415837;;;;;9957718;;799833;;;;;245707;;;;;
2000;Março;PI;167313;0;779287;479517;0;43720;287835;384176;0;5280872;2668425;808998;44421;165095;45446;36661;0;204844;6793277;;;2086491;;;2158056;;;;;2427508;;71783;;;;;41587;;;;;
2000;Março;RJ;65588102;0;24628039;22368511;1389902;34261272;54682427;38662009;60830313;397514976;310910342;105997299;53556841;24327776;15286348;53252;0;55329803;763795618;;;170540992;;;200273652;;;;;54999446;;3496733;;;;;12734573;;;;;
2000;Março;RN;637663;0;1620931;391301;9829;304190;184138;471393;1536;1620993;4670146;240808;92361;292062;8696;20616;0;78067;10715121;;;2616790;;;1921526;;;;;2940150;;156439;;;;;40862;;;;;
2000;Março;RS;23656856;10533;19086716;6191020;1085235;17221780;52196987;8256411;11255969;54389050;68104838;16168274;3579781;10907216;4698081;176259;0;33857557;176887012;;;36843810;;;27924731;;;;;17204846;;1675143;;;;;909771;;;;;
2000;Março;RO;12843;51;576570;0;33;5374;47193;256496;2272;981158;2702404;104695;1716;128136;7005;20298;0;60393;5247167;;;1472817;;;897840;;;;;4253838;;56605;;;;;39227;;;;;
2000;Março;RR;2605;0;253833;0;0;25;2453;94599;60818;339398;979393;11652;769;88850;2078;7919;0;3636;1184166;;;382538;;;252008;;;;;2065623;;23242;;;;;12489;;;;;
2000;Março;SC;14547721;8100;5101687;4353315;0;9390699;21439706;2864244;249048;21798700;24594534;3085095;1467453;3190181;1937593;109960;0;9354747;77892352;;;18042158;;;11724788;;;;;7547975;;604458;;;;;368499;;;;;
2000;Março;SP;335955873;66;56276360;52058410;98128472;191850834;313827850;82013858;169814882;1482963571;629060632;497202357;150962070;77976633;178791819;722532;0;867432304;1137048481;;;280835935;;;727999265;;;;;31966260;;9487190;;;;;25134368;;;;;
2000;Março;SE;480266;0;852707;4558290;0;237827;868749;847332;326857;1293324;4926658;214309;79975;174406;163598;13006;0;1166723;7056060;;;2116166;;;1531030;;;;;2697561;;79233;;;;;29036;;;;;
2000;Março;TO;12822;0;354505;40573;0;13813;181773;157503;0;380610;713256;11065;373;84663;1248;38288;0;11245;2885954;;;785864;;;375901;;;;;721342;;33454;;;;;37005;;;;;
2000;Abril;AC;69;0;281844;0;0;53;15332;1534469;504;524943;570225;10449;6731;114929;602;2826;0;314;1290412;;;301953;;;392541;;;;;332296;;25665;;;;;16011;;;;;
2000;Abril;AL;431496;34670;1335161;666420;0;209261;3524041;5599176;941;1902985;3121971;145840;39305;293824;6371;11258;0;75256;12143928;;;4512977;;;2417703;;;;;5373907;;125009;;;;;1368382;;;;;
2000;Abril;AP;18176;0;392010;1372;2089;21265;5564;673690;0;488336;585244;9247;0;27285;359;1261;0;0;1276739;;;440509;;;457162;;;;;1649978;;36021;;;;;7293;;;;;
2000;Abril;AM;11653014;0;1435869;761711;3110;2737765;823793;4396799;10359;9039140;13559355;540540;1566942;1428987;917522;4845;0;998499;47530464;;;12580151;;;16745223;;;;;3539110;;170445;;;;;197829;;;;;
2000;Abril;BA;14688014;339;5351139;9280167;0;14580507;26640025;15155589;1002540;24424129;23222040;11924026;2517595;2490981;2761108;82777;0;13219411;75677934;;;19517134;;;21359469;;;;;9236306;;535570;;;;;395744;;;;;
2000;Abril;CE;6404554;0;4312128;3634189;75;1170030;3516949;14628406;198626;11981523;17432278;2800257;643424;965139;831284;30114;0;4256952;37211974;;;9918156;;;8721801;;;;;7312268;;613761;;;;;141656;;;;;
2000;Abril;DF;1575729;220;3591841;3430141;0;1787121;918468;25559967;8974004;55836397;180539755;92534374;3504535;33361275;21771940;94572;0;228139896;113907394;;;49508485;;;34377628;;;;;55134219;;378417;;;;;79429886;;;;;
2000;Abril;ES;39356046;0;3377041;203797;3739221;27954083;6361286;10574963;86002;21137730;10335622;1566528;5610080;1378488;521351;27261;0;5434;40756335;;;9388925;;;10941146;;;;;3651490;;460277;;;;;438824;;;;;
2000;Abril;GO;4860570;0;3397095;4191750;0;2357006;3150367;11800447;30012;15256994;9649936;1441072;377088;1147127;619595;154040;0;3874980;41611410;;;9194886;;;9397822;;;;;4485422;;350179;;;;;227250;;;;;
2000;Abril;MA;4496161;0;988884;2518789;0;122391;1185428;3171259;1031;2806683;3848637;160707;62215;243541;115772;45873;0;565586;9037552;;;4300479;;;2194691;;;;;2711174;;92644;;;;;61711;;;;;
2000;Abril;MT;174171;0;1734122;1934977;0;219867;635499;4223244;3647;4395331;5973913;326776;6913763;880974;89096;177728;0;885315;14216864;;;4378653;;;3832542;;;;;3326401;;169935;;;;;74635;;;;;
2000;Abril;MS;141516;0;943385;320225;0;126602;563690;6716641;4626;3889301;3672507;303436;173091;192721;93123;144869;0;311055;11223695;;;3256626;;;2944918;;;;;2523718;;92469;;;;;195311;;;;;
2000;Abril;MG;27821946;0;15715488;11453240;35308685;11187247;50343579;66396781;1905192;76322421;74338873;7891934;8387297;6519704;2964821;233650;0;13008186;187461244;;;43995095;;;54713452;;;;;20210939;;1783680;;;;;750843;;;;;
2000;Abril;PA;1182931;0;2488552;903726;0;694707;1026390;6204840;1384043;8046201;11519619;655580;237293;617871;333335;94504;0;2991822;17062165;;;5237041;;;6358428;;;;;6563815;;255272;;;;;142400;;;;;
2000;Abril;PB;998391;0;1929333;778395;0;430864;1676840;5152700;7090;3538418;7058509;160946;115100;169257;146162;16393;0;187375;9464873;;;2658101;;;2765320;;;;;6891385;;189815;;;;;55492;;;;;
2000;Abril;PR;53090478;0;8723042;5036162;34775954;35566257;34232468;46365798;11646200;52279319;39539839;33994847;3418230;5310118;9121231;207266;0;73591145;127468351;;;25638454;;;32553957;;;;;9057448;;965407;;;;;1377701;;;;;
2000;Abril;PE;8534629;0;6298798;5553873;0;4040788;9617999;18384596;431554;27413524;19792232;3533983;978031;2379125;801417;37211;0;2909938;46558690;;;13838128;;;15663087;;;;;10595414;;952946;;;;;227318;;;;;
2000;Abril;PI;218222;0;800617;42627;0;66586;305624;3632799;21452;4136774;3564655;184913;7317;134715;47430;40020;0;177158;6694621;;;2123073;;;2741857;;;;;3423407;;76978;;;;;81351;;;;;
2000;Abril;RJ;42783664;0;24505082;23060908;4081079;22411239;57264414;149114754;16782653;333252918;197087931;89126990;50532474;32936741;15837756;54281;0;27773395;683454439;;;175100935;;;152827321;;;;;25562091;;3786126;;;;;1948187;;;;;
2000;Abril;RN;522119;0;1815090;369474;206;217905;657685;5017059;2458;3157839;6687845;221516;321642;218076;8386;6105;0;66601;11095185;;;2867772;;;3567501;;;;;6094459;;169851;;;;;52894;;;;;
2000;Abril;RS;20469201;4834;24970501;10272176;684495;14204307;62034677;64326417;4004415;81074858;57585927;20264736;3758718;11617853;5216820;246327;0;29347603;186774504;;;39282134;;;51537128;;;;;14216000;;1914155;;;;;860668;;;;;
2000;Abril;RO;3564;0;613766;0;32;907;75616;1814647;2303;2259875;2740524;154273;28868;123057;4377;47538;0;60930;5586771;;;1365191;;;2037054;;;;;4940450;;64328;;;;;27127;;;;;
2000;Abril;RR;1129;0;273213;0;0;1147;3769;658627;921;599766;797063;3937;0;14813;0;7609;0;3880;1104880;;;410324;;;514621;;;;;2257992;;25030;;;;;14312;;;;;
2000;Abril;SC;13415570;4597;5276938;4315434;0;8152983;25346482;20562969;163481;36953344;21027265;3324164;845836;2943415;1539581;88335;0;9020875;86661696;;;20224818;;;21089501;;;;;6979715;;639629;;;;;1024909;;;;;
2000;Abril;SP;318429601;4172;60008546;62100019;142109773;175997052;398685779;318041733;60859893;585121497;488063147;484442460;124374639;63346979;150773916;415475;0;722576359;1226112154;;;296034692;;;331783428;;;;;25998468;;10779153;;;;;17929772;;;;;
2000;Abril;SE;903877;0;962855;3517123;0;532622;837995;4947149;225198;2856993;3843762;419267;160243;156742;413886;10474;0;1007479;7655618;;;2279796;;;2714736;;;;;2079175;;89962;;;;;46591;;;;;
2000;Abril;TO;5826;0;386584;96705;0;13295;183916;661563;886;984178;593486;10021;5199;73701;1395;32360;0;9645;2686119;;;595762;;;777065;;;;;697416;;36462;;;;;27489;;;;;
2000;Maio;AC;349;0;247176;0;0;115;21104;516710;511;465755;1522129;11139;1208;23756;749;159019;0;243;1265317;;;430189;;;323778;;;;;1136784;;23002;;;;;15585;;;;;
2000;Maio;AL;712640;0;1091382;440535;0;91007;469344;2097152;872;2508967;6267385;226634;61370;328757;8852;40850;0;99758;8190210;;;2268118;;;1586685;;;;;4139676;;105002;;;;;2884421;;;;;
2000;Maio;AP;47246;0;300432;1384;421;53165;4427;459139;0;340255;2449455;15668;1348;41665;1939;1034;0;0;1426620;;;466318;;;233749;;;;;5716304;;27464;;;;;9409;;;;;
2000;Maio;AM;16644627;0;1250680;1441343;1604;4175202;782717;2494202;168853;12667905;14458919;588997;3536226;1488698;2066884;3566;0;585607;50418626;;;13738423;;;17345975;;;;;4136027;;236747;;;;;246698;;;;;
